Sex,Age,Fare,No. of Siblings/Spouse,No. of parents/children,Passenger Class,Dependent Gender,Embark_town,Survived,Age Group
Male,22.0,7.25,1,0,Third,Man,Southampton,No,Young
Female,38.0,71.28,1,0,First,Woman,Cherbourg,Yes,Adult
Female,26.0,7.92,0,0,Third,Woman,Southampton,Yes,Young
Female,35.0,53.1,1,0,First,Woman,Southampton,Yes,Adult
Male,35.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,,8.46,0,0,Third,Man,Queenstown,No,
Male,54.0,51.86,0,0,First,Man,Southampton,No,Old
Male,2.0,21.08,3,1,Third,Child,Southampton,No,Young
Female,27.0,11.13,0,2,Third,Woman,Southampton,Yes,Adult
Female,14.0,30.07,1,0,Second,Child,Cherbourg,Yes,Young
Female,4.0,16.7,1,1,Third,Child,Southampton,Yes,Young
Female,58.0,26.55,0,0,First,Woman,Southampton,Yes,Old
Male,20.0,8.05,0,0,Third,Man,Southampton,No,Young
Male,39.0,31.28,1,5,Third,Man,Southampton,No,Adult
Female,14.0,7.85,0,0,Third,Child,Southampton,No,Young
Female,55.0,16.0,0,0,Second,Woman,Southampton,Yes,Old
Male,2.0,29.12,4,1,Third,Child,Queenstown,No,Young
Male,,13.0,0,0,Second,Man,Southampton,Yes,
Female,31.0,18.0,1,0,Third,Woman,Southampton,No,Adult
Female,,7.22,0,0,Third,Woman,Cherbourg,Yes,
Male,35.0,26.0,0,0,Second,Man,Southampton,No,Adult
Male,34.0,13.0,0,0,Second,Man,Southampton,Yes,Adult
Female,15.0,8.03,0,0,Third,Child,Queenstown,Yes,Young
Male,28.0,35.5,0,0,First,Man,Southampton,Yes,Adult
Female,8.0,21.08,3,1,Third,Child,Southampton,No,Young
Female,38.0,31.39,1,5,Third,Woman,Southampton,Yes,Adult
Male,,7.22,0,0,Third,Man,Cherbourg,No,
Male,19.0,263.0,3,2,First,Man,Southampton,No,Young
Female,,7.88,0,0,Third,Woman,Queenstown,Yes,
Male,,7.9,0,0,Third,Man,Southampton,No,
Male,40.0,27.72,0,0,First,Man,Cherbourg,No,Adult
Female,,146.52,1,0,First,Woman,Cherbourg,Yes,
Female,,7.75,0,0,Third,Woman,Queenstown,Yes,
Male,66.0,10.5,0,0,Second,Man,Southampton,No,Old
Male,28.0,82.17,1,0,First,Man,Cherbourg,No,Adult
Male,42.0,52.0,1,0,First,Man,Southampton,No,Adult
Male,,7.23,0,0,Third,Man,Cherbourg,Yes,
Male,21.0,8.05,0,0,Third,Man,Southampton,No,Young
Female,18.0,18.0,2,0,Third,Woman,Southampton,No,Young
Female,14.0,11.24,1,0,Third,Child,Cherbourg,Yes,Young
Female,40.0,9.48,1,0,Third,Woman,Southampton,No,Adult
Female,27.0,21.0,1,0,Second,Woman,Southampton,No,Adult
Male,,7.9,0,0,Third,Man,Cherbourg,No,
Female,3.0,41.58,1,2,Second,Child,Cherbourg,Yes,Young
Female,19.0,7.88,0,0,Third,Woman,Queenstown,Yes,Young
Male,,8.05,0,0,Third,Man,Southampton,No,
Male,,15.5,1,0,Third,Man,Queenstown,No,
Male,,21.68,2,0,Third,Man,Cherbourg,No,
Female,18.0,17.8,1,0,Third,Woman,Southampton,No,Young
Male,7.0,39.69,4,1,Third,Child,Southampton,No,Young
Male,21.0,7.8,0,0,Third,Man,Southampton,No,Young
Female,49.0,76.73,1,0,First,Woman,Cherbourg,Yes,Adult
Female,29.0,26.0,1,0,Second,Woman,Southampton,Yes,Adult
Male,65.0,61.98,0,1,First,Man,Cherbourg,No,Old
Male,,35.5,0,0,First,Man,Southampton,Yes,
Female,21.0,10.5,0,0,Second,Woman,Southampton,Yes,Young
Male,28.5,7.23,0,0,Third,Man,Cherbourg,No,Adult
Female,5.0,27.75,1,2,Second,Child,Southampton,Yes,Young
Male,11.0,46.9,5,2,Third,Child,Southampton,No,Young
Male,22.0,7.23,0,0,Third,Man,Cherbourg,No,Young
Female,38.0,80.0,0,0,First,Woman,,Yes,Adult
Male,45.0,83.48,1,0,First,Man,Southampton,No,Adult
Male,4.0,27.9,3,2,Third,Child,Southampton,No,Young
Male,,27.72,0,0,First,Man,Cherbourg,No,
Male,,15.25,1,1,Third,Man,Cherbourg,Yes,
Female,29.0,10.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,19.0,8.16,0,0,Third,Man,Southampton,No,Young
Female,17.0,7.92,4,2,Third,Woman,Southampton,Yes,Young
Male,26.0,8.66,2,0,Third,Man,Southampton,No,Young
Male,32.0,10.5,0,0,Second,Man,Southampton,No,Adult
Female,16.0,46.9,5,2,Third,Woman,Southampton,No,Young
Male,21.0,73.5,0,0,Second,Man,Southampton,No,Young
Male,26.0,14.45,1,0,Third,Man,Cherbourg,No,Young
Male,32.0,56.5,0,0,Third,Man,Southampton,Yes,Adult
Male,25.0,7.65,0,0,Third,Man,Southampton,No,Young
Male,0.83,29.0,0,2,Second,Child,Southampton,Yes,Young
Female,30.0,12.48,0,0,Third,Woman,Southampton,Yes,Adult
Male,22.0,9.0,0,0,Third,Man,Southampton,No,Young
Male,29.0,9.5,0,0,Third,Man,Southampton,Yes,Adult
Female,,7.79,0,0,Third,Woman,Queenstown,Yes,
Male,28.0,47.1,0,0,First,Man,Southampton,No,Adult
Female,17.0,10.5,0,0,Second,Woman,Southampton,Yes,Young
Female,33.0,15.85,3,0,Third,Woman,Southampton,Yes,Adult
Male,16.0,34.38,1,3,Third,Man,Southampton,No,Young
Female,23.0,263.0,3,2,First,Woman,Southampton,Yes,Young
Male,24.0,8.05,0,0,Third,Man,Southampton,No,Young
Male,29.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,20.0,7.85,0,0,Third,Man,Southampton,No,Young
Male,46.0,61.18,1,0,First,Man,Southampton,No,Adult
Male,26.0,20.58,1,2,Third,Man,Southampton,No,Young
Male,59.0,7.25,0,0,Third,Man,Southampton,No,Old
Male,71.0,34.65,0,0,First,Man,Cherbourg,No,Old
Male,23.0,63.36,0,1,First,Man,Cherbourg,Yes,Young
Female,34.0,23.0,0,1,Second,Woman,Southampton,Yes,Adult
Male,34.0,26.0,1,0,Second,Man,Southampton,No,Adult
Female,28.0,7.9,0,0,Third,Woman,Southampton,No,Adult
Male,21.0,77.29,0,1,First,Man,Southampton,No,Young
Male,33.0,8.65,0,0,Third,Man,Southampton,No,Adult
Male,37.0,7.92,2,0,Third,Man,Southampton,No,Adult
Male,28.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,21.0,7.65,0,0,Third,Woman,Southampton,Yes,Young
Male,,7.78,0,0,Third,Man,Southampton,Yes,
Male,38.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,,24.15,1,0,Third,Woman,Queenstown,Yes,
Male,47.0,52.0,0,0,First,Man,Southampton,No,Adult
Female,14.5,14.45,1,0,Third,Child,Cherbourg,No,Young
Male,22.0,8.05,0,0,Third,Man,Southampton,No,Young
Female,20.0,9.82,1,0,Third,Woman,Southampton,No,Young
Female,17.0,14.46,0,0,Third,Woman,Cherbourg,No,Young
Male,21.0,7.92,0,0,Third,Man,Southampton,No,Young
Male,70.5,7.75,0,0,Third,Man,Queenstown,No,Old
Male,29.0,21.0,1,0,Second,Man,Southampton,No,Adult
Male,24.0,247.52,0,1,First,Man,Cherbourg,No,Young
Female,2.0,31.28,4,2,Third,Child,Southampton,No,Young
Male,21.0,73.5,2,0,Second,Man,Southampton,No,Young
Male,32.5,30.07,1,0,Second,Man,Cherbourg,No,Adult
Female,32.5,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,54.0,77.29,0,1,First,Man,Southampton,No,Old
Male,12.0,11.24,1,0,Third,Child,Cherbourg,Yes,Young
Male,,7.75,0,0,Third,Man,Queenstown,No,
Male,24.0,7.14,0,0,Third,Man,Southampton,Yes,Young
Female,,22.36,1,1,Third,Woman,Cherbourg,Yes,
Male,45.0,6.98,0,0,Third,Man,Southampton,No,Adult
Male,33.0,7.9,0,0,Third,Man,Cherbourg,No,Adult
Male,20.0,7.05,0,0,Third,Man,Southampton,No,Young
Female,47.0,14.5,1,0,Third,Woman,Southampton,No,Adult
Male,25.0,13.0,0,0,Second,Man,Southampton,No,Young
Male,23.0,15.05,0,0,Second,Man,Cherbourg,No,Young
Female,19.0,26.28,0,2,First,Woman,Southampton,Yes,Young
Male,37.0,53.1,1,0,First,Man,Southampton,No,Adult
Male,16.0,9.22,0,0,Third,Man,Southampton,No,Young
Male,24.0,79.2,0,0,First,Man,Cherbourg,No,Young
Female,,15.25,0,2,Third,Woman,Cherbourg,No,
Female,22.0,7.75,0,0,Third,Woman,Southampton,Yes,Young
Female,24.0,15.85,1,0,Third,Woman,Southampton,Yes,Young
Male,19.0,6.75,0,0,Third,Man,Queenstown,No,Young
Male,18.0,11.5,0,0,Second,Man,Southampton,No,Young
Male,19.0,36.75,1,1,Second,Man,Southampton,No,Young
Male,27.0,7.8,0,0,Third,Man,Southampton,Yes,Adult
Female,9.0,34.38,2,2,Third,Child,Southampton,No,Young
Male,36.5,26.0,0,2,Second,Man,Southampton,No,Adult
Male,42.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,51.0,12.52,0,0,Second,Man,Southampton,No,Adult
Female,22.0,66.6,1,0,First,Woman,Southampton,Yes,Young
Male,55.5,8.05,0,0,Third,Man,Southampton,No,Old
Male,40.5,14.5,0,2,Third,Man,Southampton,No,Adult
Male,,7.31,0,0,Third,Man,Southampton,No,
Male,51.0,61.38,0,1,First,Man,Cherbourg,No,Adult
Female,16.0,7.73,0,0,Third,Woman,Queenstown,Yes,Young
Male,30.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,,8.66,0,0,Third,Man,Southampton,No,
Male,,69.55,8,2,Third,Man,Southampton,No,
Male,44.0,16.1,0,1,Third,Man,Southampton,No,Adult
Female,40.0,15.75,0,0,Second,Woman,Southampton,Yes,Adult
Male,26.0,7.78,0,0,Third,Man,Southampton,No,Young
Male,17.0,8.66,0,0,Third,Man,Southampton,No,Young
Male,1.0,39.69,4,1,Third,Child,Southampton,No,Young
Male,9.0,20.52,0,2,Third,Child,Southampton,Yes,Young
Female,,55.0,0,1,First,Woman,Southampton,Yes,
Female,45.0,27.9,1,4,Third,Woman,Southampton,No,Adult
Male,,25.92,0,0,First,Man,Southampton,No,
Male,28.0,56.5,0,0,Third,Man,Southampton,No,Adult
Male,61.0,33.5,0,0,First,Man,Southampton,No,Old
Male,4.0,29.12,4,1,Third,Child,Queenstown,No,Young
Female,1.0,11.13,1,1,Third,Child,Southampton,Yes,Young
Male,56.0,30.7,0,0,First,Man,Cherbourg,No,Old
Male,18.0,7.85,1,1,Third,Man,Southampton,No,Young
Male,,25.47,3,1,Third,Man,Southampton,No,
Female,50.0,28.71,0,0,First,Woman,Cherbourg,No,Adult
Male,30.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,36.0,0.0,0,0,Third,Man,Southampton,No,Adult
Female,,69.55,8,2,Third,Woman,Southampton,No,
Male,,15.05,0,0,Second,Man,Cherbourg,No,
Male,9.0,31.39,4,2,Third,Child,Southampton,No,Young
Male,1.0,39.0,2,1,Second,Child,Southampton,Yes,Young
Female,4.0,22.02,0,2,Third,Child,Southampton,Yes,Young
Male,,50.0,0,0,First,Man,Southampton,No,
Female,,15.5,1,0,Third,Woman,Queenstown,Yes,
Male,45.0,26.55,0,0,First,Man,Southampton,Yes,Adult
Male,40.0,15.5,1,1,Third,Man,Queenstown,No,Adult
Male,36.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,32.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,19.0,13.0,0,0,Second,Man,Southampton,No,Young
Female,19.0,7.85,1,0,Third,Woman,Southampton,Yes,Young
Male,3.0,26.0,1,1,Second,Child,Southampton,Yes,Young
Female,44.0,27.72,0,0,First,Woman,Cherbourg,Yes,Adult
Female,58.0,146.52,0,0,First,Woman,Cherbourg,Yes,Old
Male,42.0,8.4,0,1,Third,Man,Southampton,No,Adult
Female,24.0,13.0,0,0,Second,Woman,Southampton,No,Young
Male,28.0,9.5,0,0,Third,Man,Southampton,No,Adult
Male,34.0,6.5,0,0,Third,Man,Southampton,No,Adult
Male,45.5,7.22,0,0,Third,Man,Cherbourg,No,Adult
Male,18.0,8.05,0,0,Third,Man,Southampton,Yes,Young
Female,2.0,10.46,0,1,Third,Child,Southampton,No,Young
Male,32.0,15.85,1,0,Third,Man,Southampton,No,Adult
Male,26.0,18.79,0,0,Third,Man,Cherbourg,Yes,Young
Female,16.0,7.75,0,0,Third,Woman,Queenstown,Yes,Young
Male,40.0,31.0,0,0,First,Man,Cherbourg,Yes,Adult
Male,24.0,7.05,0,0,Third,Man,Southampton,No,Young
Female,35.0,21.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,22.0,7.25,0,0,Third,Man,Southampton,No,Young
Male,,7.75,1,0,Third,Man,Queenstown,No,
Female,31.0,113.28,1,0,First,Woman,Cherbourg,Yes,Adult
Female,27.0,7.92,0,0,Third,Woman,Southampton,Yes,Adult
Male,42.0,27.0,1,0,Second,Man,Southampton,No,Adult
Female,32.0,76.29,0,0,First,Woman,Cherbourg,Yes,Adult
Male,30.0,10.5,0,0,Second,Man,Southampton,No,Adult
Male,16.0,8.05,0,0,Third,Man,Southampton,Yes,Young
Male,27.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,51.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,38.0,90.0,1,0,First,Man,Southampton,Yes,Adult
Male,22.0,9.35,0,0,Third,Man,Southampton,No,Young
Male,19.0,10.5,0,0,Second,Man,Southampton,Yes,Young
Male,20.5,7.25,0,0,Third,Man,Southampton,No,Young
Male,18.0,13.0,0,0,Second,Man,Southampton,No,Young
Female,,25.47,3,1,Third,Woman,Southampton,No,
Female,35.0,83.48,1,0,First,Woman,Southampton,Yes,Adult
Male,29.0,7.78,0,0,Third,Man,Southampton,No,Adult
Male,59.0,13.5,0,0,Second,Man,Southampton,No,Old
Female,5.0,31.39,4,2,Third,Child,Southampton,Yes,Young
Male,24.0,10.5,0,0,Second,Man,Southampton,No,Young
Female,,7.55,0,0,Third,Woman,Southampton,No,
Male,44.0,26.0,1,0,Second,Man,Southampton,No,Adult
Female,8.0,26.25,0,2,Second,Child,Southampton,Yes,Young
Male,19.0,10.5,0,0,Second,Man,Southampton,No,Young
Male,33.0,12.28,0,0,Second,Man,Southampton,No,Adult
Female,,14.45,1,0,Third,Woman,Cherbourg,No,
Male,29.0,10.5,0,0,Second,Man,Southampton,No,Adult
Male,22.0,7.12,0,0,Third,Man,Southampton,No,Young
Male,30.0,7.22,0,0,Third,Man,Cherbourg,No,Adult
Male,44.0,90.0,2,0,First,Man,Queenstown,No,Adult
Female,25.0,7.78,0,0,Third,Woman,Southampton,No,Young
Female,24.0,14.5,0,2,Second,Woman,Southampton,Yes,Young
Male,37.0,52.55,1,1,First,Man,Southampton,Yes,Adult
Male,54.0,26.0,1,0,Second,Man,Southampton,No,Old
Male,,7.25,0,0,Third,Man,Southampton,No,
Female,29.0,10.46,1,1,Third,Woman,Southampton,No,Adult
Male,62.0,26.55,0,0,First,Man,Southampton,No,Old
Male,30.0,16.1,1,0,Third,Man,Southampton,No,Adult
Female,41.0,20.21,0,2,Third,Woman,Southampton,No,Adult
Female,29.0,15.25,0,2,Third,Woman,Cherbourg,Yes,Adult
Female,,79.2,0,0,First,Woman,Cherbourg,Yes,
Female,30.0,86.5,0,0,First,Woman,Southampton,Yes,Adult
Female,35.0,512.33,0,0,First,Woman,Cherbourg,Yes,Adult
Female,50.0,26.0,0,1,Second,Woman,Southampton,Yes,Adult
Male,3.0,31.39,4,2,Third,Child,Southampton,Yes,Young
Male,52.0,79.65,1,1,First,Man,Southampton,No,Adult
Male,40.0,0.0,0,0,First,Man,Southampton,No,Adult
Female,,7.75,0,0,Third,Woman,Queenstown,No,
Male,36.0,10.5,0,0,Second,Man,Southampton,No,Adult
Male,16.0,39.69,4,1,Third,Man,Southampton,No,Young
Male,25.0,7.78,1,0,Third,Man,Southampton,Yes,Young
Female,58.0,153.46,0,1,First,Woman,Southampton,Yes,Old
Female,35.0,135.63,0,0,First,Woman,Southampton,Yes,Adult
Male,,31.0,0,0,First,Man,Southampton,No,
Male,25.0,0.0,0,0,Third,Man,Southampton,Yes,Young
Female,41.0,19.5,0,1,Second,Woman,Southampton,Yes,Adult
Male,37.0,29.7,0,1,First,Man,Cherbourg,No,Adult
Female,63.0,77.96,1,0,First,Woman,Southampton,Yes,Old
Female,45.0,7.75,0,0,Third,Woman,Southampton,No,Adult
Male,,0.0,0,0,Second,Man,Southampton,No,
Male,7.0,29.12,4,1,Third,Child,Queenstown,No,Young
Female,35.0,20.25,1,1,Third,Woman,Southampton,Yes,Adult
Male,65.0,7.75,0,0,Third,Man,Queenstown,No,Old
Male,28.0,7.85,0,0,Third,Man,Southampton,No,Adult
Male,16.0,9.5,0,0,Third,Man,Southampton,No,Young
Male,19.0,8.05,0,0,Third,Man,Southampton,Yes,Young
Male,,26.0,0,0,First,Man,Southampton,No,
Male,33.0,8.66,0,0,Third,Man,Cherbourg,No,Adult
Male,30.0,9.5,0,0,Third,Man,Southampton,Yes,Adult
Male,22.0,7.9,0,0,Third,Man,Southampton,No,Young
Male,42.0,13.0,0,0,Second,Man,Southampton,Yes,Adult
Female,22.0,7.75,0,0,Third,Woman,Queenstown,Yes,Young
Female,26.0,78.85,0,0,First,Woman,Southampton,Yes,Young
Female,19.0,91.08,1,0,First,Woman,Cherbourg,Yes,Young
Male,36.0,12.88,0,0,Second,Man,Cherbourg,No,Adult
Female,24.0,8.85,0,0,Third,Woman,Southampton,No,Young
Male,24.0,7.9,0,0,Third,Man,Southampton,No,Young
Male,23.5,7.23,0,0,Third,Man,Cherbourg,No,Young
Female,2.0,151.55,1,2,First,Child,Southampton,No,Young
Male,,30.5,0,0,First,Man,Southampton,Yes,
Female,50.0,247.52,0,1,First,Woman,Cherbourg,Yes,Adult
Male,,23.25,2,0,Third,Man,Queenstown,Yes,
Male,19.0,0.0,0,0,Third,Man,Southampton,No,Young
Female,,12.35,0,0,Second,Woman,Queenstown,Yes,
Male,0.92,151.55,1,2,First,Child,Southampton,Yes,Young
Female,,110.88,0,0,First,Woman,Cherbourg,Yes,
Female,17.0,108.9,1,0,First,Woman,Cherbourg,Yes,Young
Male,30.0,24.0,1,0,Second,Man,Cherbourg,No,Adult
Female,30.0,56.93,0,0,First,Woman,Cherbourg,Yes,Adult
Female,24.0,83.16,0,0,First,Woman,Cherbourg,Yes,Young
Female,18.0,262.38,2,2,First,Woman,Cherbourg,Yes,Young
Female,26.0,26.0,1,1,Second,Woman,Southampton,No,Young
Male,43.0,26.25,1,1,Second,Man,Southampton,No,Adult
Female,26.0,7.85,0,0,Third,Woman,Southampton,Yes,Young
Female,24.0,26.0,1,0,Second,Woman,Southampton,Yes,Young
Male,54.0,14.0,0,0,Second,Man,Southampton,No,Old
Female,31.0,164.87,0,2,First,Woman,Southampton,Yes,Adult
Female,40.0,134.5,1,1,First,Woman,Cherbourg,Yes,Adult
Male,27.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,30.0,12.35,0,0,Second,Woman,Queenstown,Yes,Adult
Female,22.0,29.0,1,1,Second,Woman,Southampton,Yes,Young
Female,36.0,135.63,0,0,First,Woman,Cherbourg,Yes,Adult
Male,61.0,6.24,0,0,Third,Man,Southampton,No,Old
Female,36.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Female,31.0,20.52,1,1,Third,Woman,Southampton,Yes,Adult
Female,16.0,57.98,0,1,First,Woman,Cherbourg,Yes,Young
Female,,23.25,2,0,Third,Woman,Queenstown,Yes,
Male,45.5,28.5,0,0,First,Man,Southampton,No,Adult
Male,38.0,153.46,0,1,First,Man,Southampton,No,Adult
Male,16.0,18.0,2,0,Third,Man,Southampton,No,Young
Female,,133.65,1,0,First,Woman,Southampton,Yes,
Male,29.0,66.6,1,0,First,Man,Southampton,No,Adult
Female,41.0,134.5,0,0,First,Woman,Cherbourg,Yes,Adult
Male,45.0,8.05,0,0,Third,Man,Southampton,Yes,Adult
Male,45.0,35.5,0,0,First,Man,Southampton,No,Adult
Male,2.0,26.0,1,1,Second,Child,Southampton,Yes,Young
Female,24.0,263.0,3,2,First,Woman,Southampton,Yes,Young
Male,28.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,36.0,13.0,0,0,Second,Man,Southampton,No,Adult
Female,24.0,13.0,0,0,Second,Woman,Southampton,Yes,Young
Female,40.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Female,,16.1,1,0,Third,Woman,Southampton,Yes,
Male,3.0,15.9,1,1,Third,Child,Southampton,Yes,Young
Male,42.0,8.66,0,0,Third,Man,Southampton,No,Adult
Male,23.0,9.22,0,0,Third,Man,Southampton,No,Young
Male,,35.0,0,0,First,Man,Southampton,No,
Male,15.0,7.23,1,1,Third,Child,Cherbourg,No,Young
Male,25.0,17.8,1,0,Third,Man,Southampton,No,Young
Female,22.0,55.0,0,1,First,Woman,Southampton,Yes,Young
Female,38.0,13.0,0,0,Second,Woman,Southampton,No,Adult
Male,40.0,27.9,1,4,Third,Man,Southampton,No,Adult
Male,29.0,27.72,1,0,Second,Man,Cherbourg,No,Adult
Female,45.0,14.45,0,1,Third,Woman,Cherbourg,No,Adult
Male,35.0,7.05,0,0,Third,Man,Southampton,No,Adult
Male,30.0,7.25,0,0,Third,Man,Southampton,No,Adult
Female,60.0,75.25,1,0,First,Woman,Cherbourg,Yes,Old
Female,,7.23,0,0,Third,Woman,Cherbourg,Yes,
Female,24.0,69.3,0,0,First,Woman,Cherbourg,Yes,Young
Male,25.0,55.44,1,0,First,Man,Cherbourg,Yes,Young
Male,18.0,6.5,1,0,Third,Man,Southampton,No,Young
Male,19.0,8.05,0,0,Third,Man,Southampton,No,Young
Male,22.0,135.63,0,0,First,Man,Cherbourg,No,Young
Female,3.0,21.08,3,1,Third,Child,Southampton,No,Young
Female,,82.17,1,0,First,Woman,Cherbourg,Yes,
Female,22.0,7.25,0,0,Third,Woman,Southampton,Yes,Young
Male,27.0,211.5,0,2,First,Man,Cherbourg,No,Adult
Male,20.0,4.01,0,0,Third,Man,Cherbourg,No,Young
Male,19.0,7.78,0,0,Third,Man,Southampton,No,Young
Female,42.0,227.52,0,0,First,Woman,Cherbourg,Yes,Adult
Female,1.0,15.74,0,2,Third,Child,Cherbourg,Yes,Young
Male,32.0,7.92,0,0,Third,Man,Southampton,No,Adult
Female,35.0,52.0,1,0,First,Woman,Southampton,Yes,Adult
Male,18.0,73.5,0,0,Second,Man,Southampton,No,Young
Male,1.0,46.9,5,2,Third,Child,Southampton,No,Young
Female,36.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,,7.73,0,0,Third,Man,Queenstown,No,
Female,17.0,12.0,0,0,Second,Woman,Cherbourg,Yes,Young
Male,36.0,120.0,1,2,First,Man,Southampton,Yes,Adult
Male,21.0,7.8,0,0,Third,Man,Southampton,Yes,Young
Male,28.0,7.92,2,0,Third,Man,Southampton,No,Adult
Female,23.0,113.28,1,0,First,Woman,Cherbourg,Yes,Young
Female,24.0,16.7,0,2,Third,Woman,Southampton,Yes,Young
Male,22.0,7.8,0,0,Third,Man,Southampton,No,Young
Female,31.0,7.85,0,0,Third,Woman,Southampton,No,Adult
Male,46.0,26.0,0,0,Second,Man,Southampton,No,Adult
Male,23.0,10.5,0,0,Second,Man,Southampton,No,Young
Female,28.0,12.65,0,0,Second,Woman,Southampton,Yes,Adult
Male,39.0,7.92,0,0,Third,Man,Southampton,Yes,Adult
Male,26.0,8.05,0,0,Third,Man,Southampton,No,Young
Female,21.0,9.82,1,0,Third,Woman,Southampton,No,Young
Male,28.0,15.85,1,0,Third,Man,Southampton,No,Adult
Female,20.0,8.66,0,0,Third,Woman,Southampton,No,Young
Male,34.0,21.0,1,0,Second,Man,Southampton,No,Adult
Male,51.0,7.75,0,0,Third,Man,Southampton,No,Adult
Male,3.0,18.75,1,1,Second,Child,Southampton,Yes,Young
Male,21.0,7.78,0,0,Third,Man,Southampton,No,Young
Male,,6.86,0,0,Third,Man,Queenstown,No,
Female,33.0,90.0,1,0,First,Woman,Queenstown,Yes,Adult
Male,44.0,7.92,0,0,Third,Man,Southampton,Yes,Adult
Female,,8.05,0,0,Third,Woman,Southampton,No,
Female,34.0,32.5,1,1,Second,Woman,Southampton,Yes,Adult
Female,18.0,13.0,0,2,Second,Woman,Southampton,Yes,Young
Female,10.0,24.15,0,2,Third,Child,Southampton,No,Young
Male,21.0,7.73,0,0,Third,Man,Queenstown,No,Young
Male,29.0,7.88,0,0,Third,Man,Southampton,No,Adult
Female,28.0,14.4,1,1,Third,Woman,Southampton,No,Adult
Male,18.0,20.21,1,1,Third,Man,Southampton,No,Young
Female,28.0,26.0,1,0,Second,Woman,Southampton,Yes,Adult
Female,19.0,26.0,0,0,Second,Woman,Southampton,Yes,Young
