Sex,Age,Fare,No. of Siblings/Spouse,No. of parents/children,Passenger Class,Dependent Gender,Embark_town,Survived,Age Group
Male,32.0,8.05,0,0,Third,Man,Southampton,Yes,Adult
Male,28.0,26.55,0,0,First,Man,Southampton,Yes,Adult
Female,42.0,26.0,1,0,Second,Woman,Southampton,Yes,Adult
Male,17.0,7.12,0,0,Third,Man,Southampton,No,Young
Male,50.0,55.9,1,0,First,Man,Southampton,No,Adult
Female,14.0,120.0,1,2,First,Child,Southampton,Yes,Young
Female,21.0,34.38,2,2,Third,Woman,Southampton,No,Young
Female,24.0,18.75,2,3,Second,Woman,Southampton,Yes,Young
Male,64.0,263.0,1,4,First,Man,Southampton,No,Old
Male,31.0,10.5,0,0,Second,Man,Southampton,No,Adult
Female,45.0,26.25,1,1,Second,Woman,Southampton,Yes,Adult
Male,20.0,9.5,0,0,Third,Man,Southampton,No,Young
Male,25.0,7.78,1,0,Third,Man,Southampton,No,Young
Female,28.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,,8.11,0,0,Third,Man,Southampton,Yes,
Male,4.0,81.86,0,2,First,Child,Southampton,Yes,Young
Female,13.0,19.5,0,1,Second,Child,Southampton,Yes,Young
Male,34.0,26.55,0,0,First,Man,Southampton,Yes,Adult
Female,5.0,19.26,2,1,Third,Child,Cherbourg,Yes,Young
Male,52.0,30.5,0,0,First,Man,Southampton,Yes,Adult
Male,36.0,27.75,1,2,Second,Man,Southampton,No,Adult
Male,,19.97,1,0,Third,Man,Southampton,No,
Male,30.0,27.75,0,0,First,Man,Cherbourg,No,Adult
Male,49.0,89.1,1,0,First,Man,Cherbourg,Yes,Adult
Male,29.0,7.9,0,0,Third,Man,Cherbourg,Yes,Adult
Male,65.0,26.55,0,0,First,Man,Southampton,No,Old
Female,,51.86,1,0,First,Woman,Southampton,Yes,
Female,50.0,10.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,48.0,26.55,0,0,First,Man,Southampton,Yes,Adult
Male,34.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,47.0,38.5,0,0,First,Man,Southampton,No,Adult
Male,48.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,38.0,7.05,0,0,Third,Man,Southampton,No,Adult
Male,56.0,26.55,0,0,First,Man,Southampton,No,Old
Male,,7.72,0,0,Third,Man,Queenstown,No,
Female,0.75,19.26,2,1,Third,Child,Cherbourg,Yes,Young
Male,38.0,8.66,0,0,Third,Man,Southampton,No,Adult
Female,33.0,27.75,1,2,Second,Woman,Southampton,Yes,Adult
Female,23.0,13.79,0,0,Second,Woman,Cherbourg,Yes,Young
Female,22.0,9.84,0,0,Third,Woman,Southampton,No,Young
Male,,52.0,0,0,First,Man,Southampton,No,
Male,29.0,7.05,1,0,Third,Man,Southampton,No,Adult
Male,22.0,7.52,0,0,Third,Man,Southampton,No,Young
Female,2.0,12.29,0,1,Third,Child,Southampton,Yes,Young
Male,9.0,46.9,5,2,Third,Child,Southampton,No,Young
Male,50.0,8.05,0,0,Third,Man,Southampton,No,Adult
Female,63.0,9.59,0,0,Third,Woman,Southampton,Yes,Old
Male,25.0,91.08,1,0,First,Man,Cherbourg,Yes,Young
Female,35.0,90.0,1,0,First,Woman,Southampton,Yes,Adult
Male,58.0,29.7,0,0,First,Man,Cherbourg,No,Old
Male,9.0,15.9,1,1,Third,Child,Southampton,Yes,Young
Male,21.0,7.25,0,0,Third,Man,Southampton,No,Young
Male,55.0,30.5,0,0,First,Man,Southampton,No,Old
Male,71.0,49.5,0,0,First,Man,Cherbourg,No,Old
Male,,14.46,0,0,Third,Man,Cherbourg,No,
Female,54.0,78.27,1,0,First,Woman,Cherbourg,Yes,Old
Male,,15.1,0,0,Third,Man,Southampton,No,
Female,25.0,151.55,1,2,First,Woman,Southampton,No,Young
Male,24.0,7.8,0,0,Third,Man,Southampton,No,Young
Female,21.0,7.75,0,0,Third,Woman,Queenstown,No,Young
Female,,7.63,0,0,Third,Woman,Queenstown,No,
Female,37.0,9.59,0,0,Third,Woman,Southampton,No,Adult
Female,16.0,86.5,0,0,First,Woman,Southampton,Yes,Young
Male,18.0,108.9,1,0,First,Man,Cherbourg,No,Young
Female,33.0,26.0,0,2,Second,Woman,Southampton,Yes,Adult
Male,,26.55,0,0,First,Man,Southampton,Yes,
Male,28.0,22.52,0,0,Third,Man,Southampton,No,Adult
Male,26.0,56.5,0,0,Third,Man,Southampton,Yes,Young
Male,29.0,7.75,0,0,Third,Man,Queenstown,Yes,Adult
Male,36.0,26.29,0,0,First,Man,Southampton,Yes,Adult
Female,54.0,59.4,1,0,First,Woman,Cherbourg,Yes,Old
Male,24.0,7.5,0,0,Third,Man,Southampton,No,Young
Male,47.0,34.02,0,0,First,Man,Southampton,No,Adult
Female,34.0,10.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,,24.15,0,0,Third,Man,Queenstown,No,
Female,36.0,26.0,1,0,Second,Woman,Southampton,Yes,Adult
Male,32.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,30.0,93.5,0,0,First,Woman,Southampton,Yes,Adult
Female,44.0,57.98,0,1,First,Woman,Cherbourg,Yes,Adult
Male,,7.23,0,0,Third,Man,Cherbourg,No,
Male,40.5,7.75,0,0,Third,Man,Queenstown,No,Adult
Male,,221.78,0,0,First,Man,Southampton,No,
Male,39.0,7.92,0,0,Third,Man,Southampton,No,Adult
Male,23.0,11.5,2,1,Second,Man,Southampton,No,Young
Female,2.0,26.0,1,1,Second,Child,Southampton,Yes,Young
Male,17.0,7.23,1,1,Third,Man,Cherbourg,No,Young
Female,,22.36,0,2,Third,Woman,Cherbourg,Yes,
Female,30.0,8.66,0,0,Third,Woman,Southampton,No,Adult
Female,7.0,26.25,0,2,Second,Child,Southampton,Yes,Young
Male,45.0,26.55,0,0,First,Man,Southampton,No,Adult
Female,30.0,106.42,0,0,First,Woman,Cherbourg,Yes,Adult
Male,,14.5,0,0,Third,Man,Southampton,No,
Female,22.0,49.5,0,2,First,Woman,Cherbourg,Yes,Young
Female,36.0,71.0,0,2,First,Woman,Southampton,Yes,Adult
Female,9.0,31.28,4,2,Third,Child,Southampton,No,Young
Female,11.0,31.28,4,2,Third,Child,Southampton,No,Young
Male,32.0,26.0,1,0,Second,Man,Southampton,Yes,Adult
Male,50.0,106.42,1,0,First,Man,Cherbourg,No,Adult
Male,64.0,26.0,0,0,First,Man,Southampton,No,Old
Female,19.0,26.0,1,0,Second,Woman,Southampton,Yes,Young
Male,,13.86,0,0,Second,Man,Cherbourg,Yes,
Male,33.0,20.52,1,1,Third,Man,Southampton,No,Adult
Male,8.0,36.75,1,1,Second,Child,Southampton,Yes,Young
Male,17.0,110.88,0,2,First,Man,Cherbourg,Yes,Young
Male,27.0,26.0,0,0,Second,Man,Southampton,No,Adult
Male,,7.83,0,0,Third,Man,Queenstown,No,
Male,22.0,7.22,0,0,Third,Man,Cherbourg,Yes,Young
Female,22.0,7.78,0,0,Third,Woman,Southampton,Yes,Young
Male,62.0,26.55,0,0,First,Man,Southampton,No,Old
Female,48.0,39.6,1,0,First,Woman,Cherbourg,Yes,Adult
Male,,227.52,0,0,First,Man,Cherbourg,No,
Female,39.0,79.65,1,1,First,Woman,Southampton,Yes,Adult
Female,36.0,17.4,1,0,Third,Woman,Southampton,Yes,Adult
Male,40.0,7.9,0,0,Third,Man,Southampton,No,Adult
Male,28.0,13.5,0,0,Second,Man,Southampton,No,Adult
Male,24.0,24.15,2,0,Third,Man,Southampton,No,Young
Male,19.0,7.9,0,0,Third,Man,Southampton,No,Young
Female,29.0,21.08,0,4,Third,Woman,Southampton,No,Adult
Male,32.0,7.85,0,0,Third,Man,Southampton,Yes,Adult
Male,62.0,10.5,0,0,Second,Man,Southampton,Yes,Old
Female,53.0,51.48,2,0,First,Woman,Southampton,Yes,Adult
Male,36.0,26.39,0,0,First,Man,Southampton,Yes,Adult
Male,16.0,8.05,0,0,Third,Man,Southampton,No,Young
Male,19.0,14.5,0,0,Third,Man,Southampton,No,Young
Female,34.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Female,39.0,55.9,1,0,First,Woman,Southampton,Yes,Adult
Female,,14.46,1,0,Third,Woman,Cherbourg,No,
Male,32.0,7.92,0,0,Third,Man,Southampton,Yes,Adult
Female,25.0,30.0,1,1,Second,Woman,Southampton,Yes,Young
Female,39.0,110.88,1,1,First,Woman,Cherbourg,Yes,Adult
Male,54.0,26.0,0,0,Second,Man,Southampton,No,Old
Male,36.0,40.12,0,0,First,Man,Cherbourg,No,Adult
Male,,8.71,0,0,Third,Man,Cherbourg,No,
Female,18.0,79.65,0,2,First,Woman,Southampton,Yes,Young
Male,47.0,15.0,0,0,Second,Man,Southampton,No,Adult
Male,60.0,79.2,1,1,First,Man,Cherbourg,Yes,Old
Male,35.0,7.12,0,0,Third,Man,Southampton,No,Adult
Female,52.0,78.27,1,0,First,Woman,Cherbourg,Yes,Adult
Male,47.0,7.25,0,0,Third,Man,Southampton,No,Adult
Female,,7.75,0,2,Third,Woman,Queenstown,No,
Male,37.0,26.0,1,0,Second,Man,Southampton,No,Adult
Male,36.0,24.15,1,1,Third,Man,Southampton,No,Adult
Female,,33.0,0,0,Second,Woman,Southampton,Yes,
Male,49.0,0.0,0,0,Third,Man,Southampton,No,Adult
Male,49.0,56.93,1,0,First,Man,Cherbourg,Yes,Adult
Female,24.0,27.0,2,1,Second,Woman,Southampton,Yes,Young
Male,,42.4,0,0,First,Man,Southampton,No,
Male,44.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,35.0,26.55,0,0,First,Man,Cherbourg,Yes,Adult
Male,36.0,15.55,1,0,Third,Man,Southampton,No,Adult
Male,30.0,7.9,0,0,Third,Man,Southampton,No,Adult
Male,27.0,30.5,0,0,First,Man,Southampton,Yes,Adult
Female,22.0,41.58,1,2,Second,Woman,Cherbourg,Yes,Young
Female,40.0,153.46,0,0,First,Woman,Southampton,Yes,Adult
Female,39.0,31.28,1,5,Third,Woman,Southampton,No,Adult
Male,,7.05,0,0,Third,Man,Southampton,No,
Female,24.0,65.0,1,2,Second,Woman,Southampton,Yes,Young
Male,34.0,14.4,1,1,Third,Man,Southampton,No,Adult
Female,26.0,16.1,1,0,Third,Woman,Southampton,No,Young
Female,4.0,39.0,2,1,Second,Child,Southampton,Yes,Young
Male,26.0,10.5,0,0,Second,Man,Southampton,No,Young
Male,27.0,14.45,1,0,Third,Man,Cherbourg,No,Adult
Male,42.0,52.55,1,0,First,Man,Southampton,Yes,Adult
Male,20.0,15.74,1,1,Third,Man,Cherbourg,Yes,Young
Male,21.0,7.85,0,0,Third,Man,Southampton,No,Young
Male,21.0,16.1,0,0,Third,Man,Southampton,No,Young
Male,61.0,32.32,0,0,First,Man,Southampton,No,Old
Male,57.0,12.35,0,0,Second,Man,Queenstown,No,Old
Female,21.0,77.96,0,0,First,Woman,Southampton,Yes,Young
Male,26.0,7.9,0,0,Third,Man,Southampton,No,Young
Male,,7.73,0,0,Third,Man,Queenstown,No,
Male,80.0,30.0,0,0,First,Man,Southampton,Yes,Old
Male,51.0,7.05,0,0,Third,Man,Southampton,No,Adult
Male,32.0,30.5,0,0,First,Man,Cherbourg,Yes,Adult
Male,,0.0,0,0,First,Man,Southampton,No,
Female,9.0,27.9,3,2,Third,Child,Southampton,No,Young
Male,31.0,26.25,1,1,Second,Man,Southampton,No,Adult
Female,41.0,39.69,0,5,Third,Woman,Southampton,No,Adult
Male,,16.1,1,0,Third,Man,Southampton,No,
Female,2.0,27.9,3,2,Third,Child,Southampton,No,Young
Male,,56.5,0,0,Third,Man,Southampton,Yes,
Male,48.0,76.73,1,0,First,Man,Cherbourg,Yes,Adult
Male,56.0,35.5,0,0,First,Man,Cherbourg,Yes,Old
Male,,7.55,0,0,Third,Man,Southampton,No,
Female,23.0,7.55,0,0,Third,Woman,Southampton,Yes,Young
Female,18.0,23.0,0,1,Second,Woman,Southampton,Yes,Young
Male,21.0,8.43,0,0,Third,Man,Southampton,No,Young
Female,,7.83,0,0,Third,Woman,Queenstown,Yes,
Female,18.0,6.75,0,0,Third,Woman,Queenstown,No,Young
Male,24.0,73.5,2,0,Second,Man,Southampton,No,Young
Female,32.0,15.5,1,1,Third,Woman,Queenstown,No,Adult
Male,23.0,13.0,0,0,Second,Man,Southampton,No,Young
Male,58.0,113.28,0,2,First,Man,Cherbourg,No,Old
Male,50.0,133.65,2,0,First,Man,Southampton,Yes,Adult
Male,40.0,7.22,0,0,Third,Man,Cherbourg,No,Adult
Male,47.0,25.59,0,0,First,Man,Southampton,No,Adult
Male,36.0,7.5,0,0,Third,Man,Southampton,No,Adult
Male,20.0,7.92,1,0,Third,Man,Southampton,Yes,Young
Male,32.0,73.5,2,0,Second,Man,Southampton,No,Adult
Male,,7.78,0,0,Third,Man,Southampton,No,
Male,43.0,8.05,0,0,Third,Man,Southampton,No,Adult
Female,,52.0,1,0,First,Woman,Southampton,Yes,
Female,40.0,39.0,1,1,Second,Woman,Southampton,Yes,Adult
Male,31.0,52.0,1,0,First,Man,Southampton,No,Adult
Male,70.0,10.5,0,0,Second,Man,Southampton,No,Old
Male,31.0,13.0,0,0,Second,Man,Southampton,Yes,Adult
Male,18.0,7.78,0,0,Third,Man,Southampton,No,Young
Male,24.5,8.05,0,0,Third,Man,Southampton,No,Young
Female,18.0,9.84,0,0,Third,Woman,Southampton,Yes,Young
Female,43.0,46.9,1,6,Third,Woman,Southampton,No,Adult
Male,36.0,512.33,0,1,First,Man,Cherbourg,Yes,Adult
Female,,8.14,0,0,Third,Woman,Queenstown,No,
Male,27.0,76.73,0,0,First,Man,Cherbourg,Yes,Adult
Male,20.0,9.22,0,0,Third,Man,Southampton,No,Young
Male,14.0,46.9,5,2,Third,Child,Southampton,No,Young
Male,60.0,39.0,1,1,Second,Man,Southampton,No,Old
Male,25.0,41.58,1,2,Second,Man,Cherbourg,No,Young
Male,14.0,39.69,4,1,Third,Child,Southampton,No,Young
Male,19.0,10.17,0,0,Third,Man,Southampton,No,Young
Male,18.0,7.8,0,0,Third,Man,Southampton,No,Young
Female,15.0,211.34,0,1,First,Child,Southampton,Yes,Young
Male,31.0,57.0,1,0,First,Man,Southampton,Yes,Adult
Female,4.0,13.42,0,1,Third,Child,Cherbourg,Yes,Young
Male,25.0,7.22,0,0,Third,Man,Cherbourg,No,Young
Male,60.0,26.55,0,0,First,Man,Southampton,No,Old
Male,52.0,13.5,0,0,Second,Man,Southampton,No,Adult
Female,,7.73,0,0,Third,Woman,Queenstown,Yes,
Male,49.0,110.88,1,1,First,Man,Cherbourg,No,Adult
Male,42.0,7.65,0,0,Third,Man,Southampton,No,Adult
Female,18.0,227.52,1,0,First,Woman,Cherbourg,Yes,Young
Male,35.0,26.29,0,0,First,Man,Southampton,Yes,Adult
Female,18.0,14.45,0,1,Third,Woman,Cherbourg,No,Young
Male,25.0,7.74,0,0,Third,Man,Queenstown,No,Young
Male,26.0,7.85,1,0,Third,Man,Southampton,No,Young
Male,39.0,26.0,0,0,Second,Man,Southampton,No,Adult
Female,45.0,13.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,42.0,26.29,0,0,First,Man,Southampton,Yes,Adult
Female,22.0,151.55,0,0,First,Woman,Southampton,Yes,Young
Female,24.0,49.5,0,0,First,Woman,Cherbourg,Yes,Young
Male,,26.55,0,0,First,Man,Southampton,No,
Male,48.0,52.0,1,0,First,Man,Southampton,Yes,Adult
Male,29.0,9.48,0,0,Third,Man,Southampton,No,Adult
Male,52.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,19.0,7.65,0,0,Third,Man,Southampton,No,Young
Female,38.0,227.52,0,0,First,Woman,Cherbourg,Yes,Adult
Female,27.0,10.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,,15.5,0,0,Third,Man,Queenstown,No,
Male,33.0,7.78,0,0,Third,Man,Southampton,No,Adult
Female,6.0,33.0,0,1,Second,Child,Southampton,Yes,Young
Male,17.0,7.05,1,0,Third,Man,Southampton,No,Young
Male,34.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,50.0,13.0,0,0,Second,Man,Southampton,No,Adult
Male,27.0,53.1,1,0,First,Man,Southampton,Yes,Adult
Male,20.0,8.66,0,0,Third,Man,Southampton,No,Young
Female,30.0,21.0,3,0,Second,Woman,Southampton,Yes,Adult
Female,,7.74,0,0,Third,Woman,Queenstown,Yes,
Male,25.0,26.0,1,0,Second,Man,Southampton,No,Young
Female,25.0,7.92,1,0,Third,Woman,Southampton,No,Young
Female,29.0,211.34,0,0,First,Woman,Southampton,Yes,Adult
Male,11.0,18.79,0,0,Third,Child,Cherbourg,No,Young
Male,28.5,16.1,0,0,Third,Man,Southampton,No,Adult
Female,48.0,34.38,1,3,Third,Woman,Southampton,No,Adult
Male,35.0,512.33,0,0,First,Man,Cherbourg,Yes,Adult
Male,,30.0,0,0,First,Man,Southampton,Yes,
Male,36.0,78.85,1,0,First,Man,Southampton,No,Adult
Female,21.0,262.38,2,2,First,Woman,Cherbourg,Yes,Young
Male,24.0,16.1,1,0,Third,Man,Southampton,No,Young
Male,31.0,7.92,0,0,Third,Man,Southampton,Yes,Adult
Male,70.0,71.0,1,1,First,Man,Southampton,No,Old
Male,16.0,20.25,1,1,Third,Man,Southampton,No,Young
Female,30.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Male,19.0,53.1,1,0,First,Man,Southampton,No,Young
Male,31.0,7.75,0,0,Third,Man,Queenstown,No,Adult
Female,4.0,23.0,1,1,Second,Child,Southampton,Yes,Young
Male,6.0,12.48,0,1,Third,Child,Southampton,Yes,Young
Male,33.0,9.5,0,0,Third,Man,Southampton,No,Adult
Male,23.0,7.9,0,0,Third,Man,Southampton,No,Young
Female,48.0,65.0,1,2,Second,Woman,Southampton,Yes,Adult
Male,0.67,14.5,1,1,Second,Child,Southampton,Yes,Young
Male,28.0,7.8,0,0,Third,Man,Southampton,No,Adult
Female,33.0,86.5,0,0,First,Woman,Southampton,Yes,Adult
Male,41.0,7.12,0,0,Third,Man,Southampton,No,Adult
Male,20.0,7.23,0,0,Third,Man,Cherbourg,Yes,Young
Female,36.0,120.0,1,2,First,Woman,Southampton,Yes,Adult
Male,16.0,7.78,0,0,Third,Man,Southampton,No,Young
Female,51.0,77.96,1,0,First,Woman,Southampton,Yes,Adult
Male,,39.6,0,0,First,Man,Cherbourg,No,
Female,30.5,7.75,0,0,Third,Woman,Queenstown,No,Adult
Male,,24.15,1,0,Third,Man,Queenstown,No,
Male,32.0,8.36,0,0,Third,Man,Southampton,No,Adult
Male,24.0,9.5,0,0,Third,Man,Southampton,No,Young
Male,48.0,7.85,0,0,Third,Man,Southampton,No,Adult
Female,57.0,10.5,0,0,Second,Woman,Southampton,No,Old
Female,54.0,23.0,1,3,Second,Woman,Southampton,Yes,Old
Male,18.0,7.75,0,0,Third,Man,Southampton,No,Young
Male,,7.75,0,0,Third,Man,Queenstown,No,
Female,5.0,12.48,0,0,Third,Child,Southampton,Yes,Young
Male,,7.74,0,0,Third,Man,Queenstown,No,
Female,43.0,211.34,0,1,First,Woman,Southampton,Yes,Adult
Female,13.0,7.23,0,0,Third,Child,Cherbourg,Yes,Young
Female,17.0,57.0,1,0,First,Woman,Southampton,Yes,Young
Male,29.0,30.0,0,0,First,Man,Southampton,No,Adult
Male,,23.45,1,2,Third,Man,Southampton,No,
Male,25.0,7.05,0,0,Third,Man,Southampton,No,Young
Male,25.0,7.25,0,0,Third,Man,Southampton,No,Young
Female,18.0,7.5,0,0,Third,Woman,Southampton,Yes,Young
Male,8.0,29.12,4,1,Third,Child,Queenstown,No,Young
Male,1.0,20.58,1,2,Third,Child,Southampton,Yes,Young
Male,46.0,79.2,0,0,First,Man,Cherbourg,No,Adult
Male,16.0,26.0,0,0,Second,Man,Southampton,No,Young
Male,,30.7,0,0,First,Man,Cherbourg,No,
Male,25.0,7.9,0,0,Third,Man,Southampton,No,Young
Male,39.0,13.0,0,0,Second,Man,Southampton,No,Adult
Female,49.0,25.93,0,0,First,Woman,Southampton,Yes,Adult
Female,31.0,8.68,0,0,Third,Woman,Southampton,Yes,Adult
Male,30.0,7.23,0,0,Third,Man,Cherbourg,No,Adult
Female,30.0,24.15,1,1,Third,Woman,Southampton,No,Adult
Female,31.0,26.25,1,1,Second,Woman,Southampton,Yes,Adult
Male,11.0,120.0,1,2,First,Child,Southampton,Yes,Young
Male,0.42,8.52,0,1,Third,Child,Cherbourg,Yes,Young
Male,27.0,6.98,0,0,Third,Man,Southampton,Yes,Adult
Male,31.0,7.78,0,0,Third,Man,Southampton,No,Adult
Male,39.0,0.0,0,0,First,Man,Southampton,No,Adult
Female,18.0,7.78,0,0,Third,Woman,Southampton,No,Young
Female,33.0,53.1,1,0,First,Woman,Southampton,Yes,Adult
Male,26.0,7.89,0,0,Third,Man,Southampton,No,Young
Male,39.0,24.15,0,0,Third,Man,Southampton,No,Adult
Male,35.0,10.5,0,0,Second,Man,Southampton,No,Adult
Female,6.0,31.28,4,2,Third,Child,Southampton,No,Young
Male,30.5,8.05,0,0,Third,Man,Southampton,No,Adult
Male,,0.0,0,0,First,Man,Southampton,No,
Female,23.0,7.92,0,0,Third,Woman,Southampton,No,Young
Male,31.0,37.0,1,1,Second,Man,Cherbourg,No,Adult
Male,43.0,6.45,0,0,Third,Man,Southampton,No,Adult
Male,10.0,27.9,3,2,Third,Child,Southampton,No,Young
Female,52.0,93.5,1,1,First,Woman,Southampton,Yes,Adult
Male,27.0,8.66,0,0,Third,Man,Southampton,Yes,Adult
Male,38.0,0.0,0,0,First,Man,Southampton,No,Adult
Female,27.0,12.48,0,1,Third,Woman,Southampton,Yes,Adult
Male,2.0,39.69,4,1,Third,Child,Southampton,No,Young
Male,,6.95,0,0,Third,Man,Queenstown,No,
Male,,56.5,0,0,Third,Man,Southampton,No,
Male,1.0,37.0,0,2,Second,Child,Cherbourg,Yes,Young
Male,,7.75,0,0,Third,Man,Queenstown,Yes,
Female,62.0,80.0,0,0,First,Woman,,Yes,Old
Female,15.0,14.45,1,0,Third,Child,Cherbourg,Yes,Young
Male,0.83,18.75,1,1,Second,Child,Southampton,Yes,Young
Male,23.0,7.85,0,0,Third,Man,Southampton,No,Young
Male,18.0,8.3,0,0,Third,Man,Southampton,No,Young
Female,39.0,83.16,1,1,First,Woman,Cherbourg,Yes,Adult
Male,21.0,8.66,0,0,Third,Man,Southampton,No,Young
Male,,29.7,0,0,First,Man,Cherbourg,Yes,
Male,20.0,7.92,0,0,Third,Man,Southampton,No,Young
Male,16.0,10.5,0,0,Second,Man,Southampton,No,Young
Female,30.0,31.0,0,0,First,Woman,Cherbourg,Yes,Adult
Male,34.5,6.44,0,0,Third,Man,Cherbourg,No,Adult
Male,42.0,7.55,0,0,Third,Man,Southampton,No,Adult
Male,35.0,7.9,0,0,Third,Man,Cherbourg,No,Adult
Male,28.0,33.0,0,1,Second,Man,Southampton,No,Adult
Female,,89.1,1,0,First,Woman,Cherbourg,Yes,
Male,4.0,31.28,4,2,Third,Child,Southampton,No,Young
Male,74.0,7.78,0,0,Third,Man,Southampton,No,Old
Female,9.0,15.25,1,1,Third,Child,Cherbourg,No,Young
Female,16.0,39.4,0,1,First,Woman,Southampton,Yes,Young
Female,44.0,26.0,1,0,Second,Woman,Southampton,No,Adult
Female,18.0,9.35,0,1,Third,Woman,Southampton,Yes,Young
Female,45.0,164.87,1,1,First,Woman,Southampton,Yes,Adult
Male,51.0,26.55,0,0,First,Man,Southampton,Yes,Adult
Female,24.0,19.26,0,3,Third,Woman,Cherbourg,Yes,Young
Male,41.0,14.11,2,0,Third,Man,Southampton,No,Adult
Male,21.0,11.5,1,0,Second,Man,Southampton,No,Young
Female,48.0,25.93,0,0,First,Woman,Southampton,Yes,Adult
Male,24.0,13.0,0,0,Second,Man,Southampton,No,Young
Female,42.0,13.0,0,0,Second,Woman,Southampton,Yes,Adult
Female,27.0,13.86,1,0,Second,Woman,Cherbourg,Yes,Adult
Male,31.0,50.5,0,0,First,Man,Southampton,No,Adult
Male,,9.5,0,0,Third,Man,Southampton,No,
Male,4.0,11.13,1,1,Third,Child,Southampton,Yes,Young
Female,47.0,52.55,1,1,First,Woman,Southampton,Yes,Adult
Male,33.0,5.0,0,0,First,Man,Southampton,No,Adult
Male,47.0,9.0,0,0,Third,Man,Southampton,No,Adult
Female,28.0,24.0,1,0,Second,Woman,Cherbourg,Yes,Adult
Female,15.0,7.22,0,0,Third,Child,Cherbourg,Yes,Young
Male,20.0,9.85,0,0,Third,Man,Southampton,No,Young
Female,56.0,83.16,0,1,First,Woman,Cherbourg,Yes,Old
Female,25.0,26.0,0,1,Second,Woman,Southampton,Yes,Young
Male,33.0,7.9,0,0,Third,Man,Southampton,No,Adult
Female,22.0,10.52,0,0,Third,Woman,Southampton,No,Young
Male,28.0,10.5,0,0,Second,Man,Southampton,No,Adult
Female,39.0,29.12,0,5,Third,Woman,Queenstown,No,Adult
Female,19.0,30.0,0,0,First,Woman,Southampton,Yes,Young
Female,,23.45,1,2,Third,Woman,Southampton,No,
Male,26.0,30.0,0,0,First,Man,Cherbourg,Yes,Young
Male,32.0,7.75,0,0,Third,Man,Queenstown,No,Adult
